Feature,Baseline_Coefficient,Final_Model_Coefficient,Ridge_Coefficient,Lasso_Coefficient
log_revenue,0.047838760991383,0.033657745459351206,0.036019911229169733,0.041099010769058426
log_employees,-0.051169197844751844,-0.03236640036420624,-0.03536396239932507,-0.04192225116183462
is_public_company,-0.00936535825264911,-0.0026688528938636625,-0.003495721249692369,-0.005637036867218803
company_size_encoded,-0.040515350085933224,-0.024010909566159457,-0.026297918579171003,-0.031644287467163426
Intercept,-0.3325996718074653,-0.24052263084741143,-0.25821395237052536,-0.29413684730491557
